,Topic,Count,Name,Representation,Representative_Docs
0,-1,28767,-1_restaurant_meal_food_service,"['restaurant', 'meal', 'food', 'service', 'delicious', 'lunch', 'dinner', 'quality', 'customer', 'dessert']","['excellent service delicious food', 'super great service, yummy drinks delicious food', 'the food great customer service excellent. food great customer service excellent']"
1,0,11809,0_restaurant_dining_food_place,"['restaurant', 'dining', 'food', 'place', 'meal', 'burgers', 'tasty', 'burger', 'lunch', 'dinner']","['great place food', 'i love place food, service', 'this place great service great food. place great service great food']"
2,1,4051,1_san_barbara_place_sushi,"['san', 'barbara', 'place', 'sushi', 'santa', 'restaurant', 'restaurants', 'location', 'places', 'downtown']","['this great place santa barbara', 'this place santa barbara', 'i place santa barbara']"
3,2,3614,2_wines_wineries_winery_wine,"['wines', 'wineries', 'winery', 'wine', 'tasting', 'tastings', 'brewery', 'beers', 'delicious', 'taste']","['great tasting room great wine', 'great experience wine tasting', 'great service delicious wine!!! tasting']"
4,3,3263,3_place_zone_spot_located,"['place', 'zone', 'spot', 'located', 'location', 'funk', 'area', 'town', 'st', 'room']","['great beer spot funk zone', 'great spot funk zone', 'this great breakfast spot funk zone']"
5,4,2697,4_seating_patio_indoor_dining,"['seating', 'patio', 'indoor', 'dining', 'sitting', 'outdoor', 'beach', 'sit', 'picnic', 'restaurant']","['beach seating inside seating awesome', 'great brunch spot limited indoor seating plenty outdoor seating patio. great brunch spot limited indoor seating plenty outdoor seating patio', 'awesome! loved outdoor seating beach/ocean view']"
6,5,2649,5_restaurant_service_food_customers,"['restaurant', 'service', 'food', 'customers', 'delicious', 'quality', 'customer', 'staff', 'friendly', 'decent']","['great service good food', 'great food good service ', 'food good service great']"
7,6,2640,6_dessert_starbucks_cafe_ice,"['dessert', 'starbucks', 'cafe', 'ice', 'cream', 'smoothies', 'smoothie', 'place', 'creamy', 'donuts']","['great spot coffee', 'the ice cream place great ice cream', 'small place great ice cream']"
8,7,1720,7_reviews_review_reviewers_reviewing,"['reviews', 'review', 'reviewers', 'reviewing', 'reviewed', 'yelp', 'yelpers', 'rating', 'restaurant', 'place']","['found restaurant yelp reviews experience had', 'i place reviews', 'i write yelp reviews place great to']"
9,8,1254,8_stars_star_stellar_5stars,"['stars', 'star', 'stellar', '5stars', '5star', 'ratings', 'four', 'rating', 'five', 'spot']","['i place 0 stars', 'i place 5 stars', '4-5 stars food, 1 star service = 3 stars']"
10,9,1249,9_rooms_tasting_room_hotel,"['rooms', 'tasting', 'room', 'hotel', 'hotels', 'bath', 'motel', 'bathroom', 'cottage', 'beds']","['this tasting room gem! walked stellar experience tasting room pleasantly surprised ambiance staff. tasting room gem! walked stellar experience tasting room pleasantly surprised ambiance staff. tasting room gem! walked stellar experience tasting room pleasantly surprised ambiance staff', 'we tasting room great, experience weekend terrible. tasting room great, experience weekend terrible', 'friendly tasting room staff priced tasting ($5)']"
11,10,959,10_atmosphere_service_food_restaurant,"['atmosphere', 'service', 'food', 'restaurant', 'environment', 'meal', 'pleasant', 'quality', 'place', 'patio']","['great food, atmosphere service', 'food, service, atmosphere great', 'great food, service atmosphere']"
12,11,934,11_place_great_wonderful_excellent,"['place', 'great', 'wonderful', 'excellent', 'superb', 'amazing', 'amazingly', 'dope', 'decent', 'solidly']","['this place great', 'this place great', 'this place great']"
13,12,828,12_experience_incredible_excellent_amazing,"['experience', 'incredible', 'excellent', 'amazing', 'pleasure', 'enjoyed', 'great', 'wonderful', 'impressions', 'here']","['i experience good', 'great experience ', ""i've place great experience . place great experience ""]"
14,13,796,13_prices_pricey_priced_cheap,"['prices', 'pricey', 'priced', 'cheap', 'pricing', 'price', 'cost', 'overpriced', 'expensive', 'decent']","['food good price reasonable', 'great place price', 'this place good price']"
15,14,704,14_birthday_birthdays_dinner_anniversary,"['birthday', 'birthdays', 'dinner', 'anniversary', 'celebrate', 'celebrated', 'celebration', 'bday', 'wedding', 'guests']","['we place birthday dinner', ""i've amazing experience birthday"", 'i birthday service great']"
16,15,663,15_boba_goleta_place_barbara,"['boba', 'goleta', 'place', 'barbara', 'tea', 'sbgoleta', 'places', 'location', 'bay', 'teas']","['i wrong here! place great boba tea huge selection too! time favorite rose milk tea boba fruit tea boba', 'this place boba sb thai tea brown sugar boba taste good! goleta place hidden gem. place boba sb thai tea brown sugar boba taste good! goleta place hidden gem', 'hands boba place goleta/sb']"
17,16,629,16_food_eat_waiting_restaurant,"['food', 'eat', 'waiting', 'restaurant', 'waited', 'dinner', 'sandwich', 'orders', 'busy', 'prepared']","['although place hour wait time, food amazing worth wait. place hour wait time, food amazing worth wait', 'the wait food long', 'food great wait time long']"
18,17,563,17_veganvegetarian_vegan_vegetarian_vegans,"['veganvegetarian', 'vegan', 'vegetarian', 'vegans', 'vegetarianvegan', 'vegetarians', 'glutenfree', 'gluten', 'veggie', 'restaurants']","['quaint place offers vegan gluten free bread options', 'this favorite place vegan food', 'delicious!!! place vegan gluten free']"
19,18,363,18_gem_gems_hidden_place,"['gem', 'gems', 'hidden', 'place', 'jewel', 'located', 'location', 'street', 'inside', 'home']","['this place hidden gem', 'this place hidden gem', 'this place hidden gem']"
20,19,360,19_ambiance_ambianceservice_restaurant_food,"['ambiance', 'ambianceservice', 'restaurant', 'food', 'meal', 'pleasant', 'terrific', 'superb', 'dining', 'delicious']","['great food, service ambiance', 'great ambiance food', 'great ambiance food']"
21,20,258,20_ramen_noodles_place_chicken,"['ramen', 'noodles', 'place', 'chicken', 'noodle', 'bowl', 'food', 'barbara', 'places', 'goleta']","['the ramen service amazing', 'this place good ramen, ordered spicy chicken ramen', 'a delicious ramen place santa barbara']"
22,21,254,21_covid_covidera_covid19_coronavirus,"['covid', 'covidera', 'covid19', 'coronavirus', 'pandemic', 'quarantine', 'place', 'virus', 'seating', 'precautions']","['nice patio seating (covid)', 'my spot covid', 'amazing food great service covid']"
23,22,244,22_poke_pokemee_pokeceviche_pokeceviches,"['poke', 'pokemee', 'pokeceviche', 'pokeceviches', 'place', 'location', 'places', 'spot', 'area', 'favorite']","[""this poke sb/goleta! \n\ni've poke place generous fish love it"", 'this poke place good', 'great place poke']"
24,23,238,23_bowls_bowl_acai_acaipitaya,"['bowls', 'bowl', 'acai', 'acaipitaya', 'place', 'backyard', 'aca', 'dessert', 'meal', 'food']","['i love acai bowls place specializes acai bowls', 'backyard bowls favorite place acai bowls! super fresh yummy lot fruits! favorite island bowl!', 'i pretty acai bowls here, place place acai bowls']"
25,24,191,24_ucsb_ucsbs_ucen_ucla,"['ucsb', 'ucsbs', 'ucen', 'ucla', 'campus', 'university', 'beachside', 'bay', 'place', 'alumni']","['this favorite place ucsb', 'great spot ucsb', 'i love place time ucsb']"
26,25,182,25_orders_order_ordering_ordered,"['orders', 'order', 'ordering', 'ordered', 'sort', 'place', 'delivery', 'location', 'called', 'phone']","['called times place order', 'called place order', 'called place pick order told order online']"
27,26,137,26_menu_menus_place_fantastic,"['menu', 'menus', 'place', 'fantastic', 'location', 'outstanding', 'affordable', 'decent', 'smorgasbord', 'awesome']","['this place awesome! \nlove menu', 'great menu here, good service good drink menu', 'great place great menu']"
28,27,102,27_mcconnells_flavors_flavor_flavorsas,"['mcconnells', 'flavors', 'flavor', 'flavorsas', 'dessert', 'wafflecones', 'treats', 'icecream', 'sweets', 'hazelnut']","['spent weekend santa barbara girlfriend to ice cream place called mcconnells told ice cream frozen yogurt speechless taste flavor texture ice cream frozen yogurt. spent weekend santa barbara girlfriend to ice cream place called mcconnells told ice cream frozen yogurt speechless taste flavor texture ice cream frozen yogurt. spent weekend santa barbara girlfriend to ice cream place called mcconnells told ice cream frozen yogurt speechless taste flavor texture ice cream frozen yogurt', 'the original mcconnells ice cream! flavors state location delicious nonetheless', 'we years ago original mcconnells years return mcconnells locations state street location serves mcconnells']"
