,business_id,ambiance_score,atmosphere_score,dessert_score,drinks_score,entertainment_score,experience_score,food_score,food_portion_score,kid_friendly_score,location_score,noise_level_score,price_score,seating_score,service_score,setting_score,space_score,waiting_time_score,Restaurants_good_for_groups_owner_provided,good_for_kids_owner_provided,restaurant_is_expensive_owner_provided,noise_level_owner_provided
0,-3AooxIkg38UyUdlz5oXdw,No mention,No mention,No mention,No mention,No mention,Positive,Neutral,No mention,No mention,No mention,No mention,Negative,No mention,No mention,No mention,No mention,No mention,Positive,Positive,Negative,Positive
1,-8iATYRnN46Km0_-ldx6cg,No mention,Positive,No mention,Positive,No mention,No mention,Positive,No mention,No mention,Positive,No mention,No mention,No mention,No mention,Positive,Positive,No mention,Positive,Negative,Negative,Positive
2,-9r8nAzWyRSLxBWt8uQOdA,Positive,Positive,No mention,No mention,Positive,No mention,Positive,No mention,No mention,No mention,No mention,No mention,No mention,Negative,Positive,No mention,Negative,Positive,Positive,Negative,Positive
3,-BdYhP-12elmFV7oB1iv4A,No mention,Positive,No mention,No mention,Positive,No mention,Positive,No mention,No mention,Positive,No mention,No mention,No mention,Positive,Positive,Positive,No mention,No mention,Positive,No mention,No mention
4,-FM4CxOg4XXmX_Ebky_SiQ,No mention,Positive,No mention,Positive,No mention,Neutral,Positive,Positive,No mention,Neutral,No mention,Negative,No mention,Positive,Positive,Positive,Neutral,Positive,Positive,Negative,Positive
5,-H-fZonTLitwHFY_PLAIjA,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,No mention,Positive,No mention,No mention,No mention,Positive,No mention,Positive,No mention,Positive,Positive,Negative,Positive
6,-I7M6l0h46VdiN09Y1NUZw,No mention,Positive,No mention,No mention,No mention,No mention,Positive,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,Positive,No mention,Positive,No mention,Negative,No mention
7,-NXRuUsazxXZZ_OHwmtYtw,No mention,No mention,No mention,No mention,No mention,Neutral,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,Positive,Negative,Negative,Negative
8,-SS3ep20HKhuOhzDkkt9aA,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,No mention,Positive,No mention,No mention,No mention,No mention,No mention,Positive,No mention,Positive,Positive,Negative,Positive
9,-TjT3y-Glfnbt6LbKETAYg,No mention,Positive,No mention,No mention,No mention,Positive,Positive,No mention,No mention,Positive,No mention,No mention,No mention,Positive,Positive,Positive,No mention,Positive,Positive,Negative,Positive
10,-VvMsFD0W2nQuO9buaeC1g,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Positive,Positive,Negative,Positive
11,-e8RwknT5szoLk9uBZjzcw,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,No mention,Negative,Negative,Negative
12,-gKBcW-YzcKbqCD-oWJnFQ,No mention,No mention,No mention,No mention,No mention,Positive,No mention,No mention,No mention,No mention,No mention,Positive,No mention,Positive,No mention,Positive,No mention,No mention,No mention,No mention,No mention
13,-ipZBVF9nWm1vzrvQ3444A,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,No mention,No mention,No mention,Negative,No mention,No mention,No mention,No mention,No mention,Positive,Positive,Negative,Positive
14,-kOUmMiIimNSBIDdFN0x-Q,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,No mention,Positive,No mention,Positive,No mention,Neutral,Positive,Positive,Neutral,Positive,Positive,Negative,Positive
15,-kfHz1kimX62QEceFkkB_g,No mention,No mention,No mention,No mention,No mention,No mention,Neutral,Positive,No mention,No mention,No mention,No mention,No mention,Positive,No mention,No mention,Negative,Positive,Positive,Negative,Positive
16,-loV4cB2Uh9TCltTRgGzWQ,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Positive,Positive,Negative,Positive
17,-r6nmLB5Vi2TLQCxh0_dtw,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,Positive,No mention,Negative,Positive,Negative,Positive
18,-wG5DQxGlSog4ynKrRdQMQ,No mention,Positive,No mention,No mention,No mention,No mention,Positive,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Positive,Positive,Negative,Positive
19,06pNHtxgPhGhZpM0Z2uzNw,No mention,Negative,No mention,No mention,No mention,Positive,Positive,No mention,No mention,Positive,No mention,No mention,No mention,Negative,No mention,Positive,Negative,Positive,Positive,Negative,Positive
20,0CHIbqSkGWBr2KMkIUocEA,Positive,Positive,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Positive,Positive,Negative,Positive
21,0RxU5OglQyPVtLKC1LPgsA,No mention,Positive,Positive,No mention,No mention,No mention,Positive,Positive,No mention,Positive,No mention,Negative,No mention,Positive,No mention,No mention,No mention,Negative,Positive,Negative,Positive
22,0WrdiQ4qJBu2Gc7wRcIfdw,Positive,Positive,No mention,No mention,Positive,Positive,Positive,No mention,No mention,Positive,No mention,No mention,No mention,Positive,No mention,Positive,No mention,Positive,Positive,Negative,Positive
23,0YI4tyK4MrTAveuj2js4OA,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Positive,Positive,Negative,Positive
24,0ac5lGA_0wdKDnib3y59Xg,No mention,Positive,No mention,Positive,No mention,Positive,Positive,Positive,No mention,No mention,No mention,No mention,No mention,Neutral,No mention,Positive,No mention,Positive,No mention,Negative,Positive
25,0cWnURpfrb4MqKSzyVN4SQ,No mention,Positive,Positive,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,No mention,No mention,Positive,Positive,Positive,Positive,Positive,Negative,Negative,Positive
26,0f0l62WKla-j2cfnPn7P2Q,No mention,No mention,Positive,Positive,No mention,No mention,Positive,No mention,No mention,No mention,No mention,Positive,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Negative,No mention
27,0iHHsSqphxrBWWecYEJcuQ,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,No mention,No mention,Negative,Positive
28,0jpFptAehZhLl3nkhHDanA,No mention,Positive,No mention,No mention,No mention,Neutral,No mention,No mention,No mention,Negative,No mention,No mention,No mention,Positive,Negative,Neutral,No mention,Positive,Negative,Positive,Positive
29,0mUVD5sDXZjd66XwATN8XA,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Negative,No mention,No mention,No mention,Negative,No mention,Negative,No mention,No mention,No mention,No mention,Positive,Negative,Positive
30,0qu0fNTOsSmuREYVIMPuIQ,No mention,Positive,No mention,No mention,No mention,Positive,Positive,No mention,No mention,Positive,No mention,Positive,No mention,No mention,No mention,Positive,No mention,Positive,Positive,Negative,Positive
31,0t1pU_Ky3Jvgq5Ya_OC1pA,Positive,No mention,No mention,Positive,No mention,No mention,Positive,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Positive,Positive,Positive,Negative,Negative,Positive
32,0tbscjPg4IzURekIn_CJ1Q,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Positive,Negative,No mention
33,13UbOVDFdxloxaient5XWA,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Negative,No mention,No mention
