,index,Unnamed: 0,review_id,user_id,business_id,stars_x,useful,funny,cool,text,date,name,address,city,state,postal_code,latitude,longitude,stars_y,review_count,is_open,attributes,categories,hours,is_restaurant,aspects_sentiment,index,seating,Service,service,food,atmosphere,Food,Atmosphere,outdoor seating,experience,setting,quality food,FOOD,prices,weather,location,SERVICE,environment,services,outdoor setting,food atmosphere,Seating,food quality,scenery,Location,food quality way,family atmosphere,Great Food,Excellent Service,seating area,food quality side,Environment,experiences
0,167386,4983423,QlrkbeGxv3Tna7iAP9eP9A,tI2OTQUUKr6s5dJOPt0v7Q,bp482wqF6v80AltDNlPDfw,1,0,1,0,I'm only giving one star because it's the lowest I can give. Terrible experience and wouldn't recommend.,2019-04-21 06:47:55.000000000,The Blue Owl,5 W Canon Perdido,Santa Barbara,CA,93101,34.420002,-119.700559,4.5,530,1,"{'BusinessAcceptsCreditCards': 'True', 'NoiseLevel': ""u'average'"", 'BusinessParking': ""{'garage': True, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsAttire': ""u'casual'"", 'RestaurantsReservations': 'False', 'Caters': 'True', 'GoodForKids': 'True', 'Alcohol': ""u'beer_and_wine'"", 'BusinessAcceptsBitcoin': 'False', 'HasTV': 'False', 'RestaurantsGoodForGroups': 'True', 'OutdoorSeating': 'True', 'RestaurantsPriceRange2': '2', 'RestaurantsTableService': 'False', 'DogsAllowed': 'False', 'BikeParking': 'True', 'Ambience': ""{'touristy': False, 'hipster': True, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': None, 'upscale': False, 'classy': True, 'casual': True}"", 'Corkage': 'True', 'BYOB': 'False', 'GoodForMeal': ""{u'breakfast': False, u'brunch': None, u'lunch': True, u'dinner': None, u'latenight': True, u'dessert': False}"", 'WiFi': ""u'free'"", 'WheelchairAccessible': 'True', 'RestaurantsDelivery': 'True', 'RestaurantsTakeOut': 'True'}","Food, American (New), Thai, Restaurants, Asian Fusion, Desserts, Cafes, Sandwiches, Caterers, Event Planning & Services","{'Tuesday': '11:0-20:0', 'Wednesday': '11:0-20:0', 'Thursday': '11:0-20:0', 'Friday': '11:0-2:30', 'Saturday': '11:0-2:30', 'Sunday': '11:0-20:0'}",Y,{},0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,167545,4983582,saCWnliUg6G4Y8o7_SwdHg,ePp1ZZdhzyp8FncUgRKP1A,bp482wqF6v80AltDNlPDfw,5,0,0,0,This spot was amazing!! We stopped by while shopping around and had the beet salad and chicken fried rice. Mind blowingly amazing flavor!!! We will definitely be back for both dishes!,2020-10-09 21:14:03.000000000,The Blue Owl,5 W Canon Perdido,Santa Barbara,CA,93101,34.420002,-119.700559,4.5,530,1,"{'BusinessAcceptsCreditCards': 'True', 'NoiseLevel': ""u'average'"", 'BusinessParking': ""{'garage': True, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsAttire': ""u'casual'"", 'RestaurantsReservations': 'False', 'Caters': 'True', 'GoodForKids': 'True', 'Alcohol': ""u'beer_and_wine'"", 'BusinessAcceptsBitcoin': 'False', 'HasTV': 'False', 'RestaurantsGoodForGroups': 'True', 'OutdoorSeating': 'True', 'RestaurantsPriceRange2': '2', 'RestaurantsTableService': 'False', 'DogsAllowed': 'False', 'BikeParking': 'True', 'Ambience': ""{'touristy': False, 'hipster': True, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': None, 'upscale': False, 'classy': True, 'casual': True}"", 'Corkage': 'True', 'BYOB': 'False', 'GoodForMeal': ""{u'breakfast': False, u'brunch': None, u'lunch': True, u'dinner': None, u'latenight': True, u'dessert': False}"", 'WiFi': ""u'free'"", 'WheelchairAccessible': 'True', 'RestaurantsDelivery': 'True', 'RestaurantsTakeOut': 'True'}","Food, American (New), Thai, Restaurants, Asian Fusion, Desserts, Cafes, Sandwiches, Caterers, Event Planning & Services","{'Tuesday': '11:0-20:0', 'Wednesday': '11:0-20:0', 'Thursday': '11:0-20:0', 'Friday': '11:0-2:30', 'Saturday': '11:0-2:30', 'Sunday': '11:0-20:0'}",Y,{},1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,44008,1243505,EuMXDLUQGORAH-ZRy_Y63w,5yGgNgkkNvsv6dYiA_whFw,Slg6Ec2D7vEBRmgVUfwkzQ,4,1,0,0,"Came here for dinner tOnight and had a great experience. We got a last minute reservation at 8:45pm seating. Ordered :

1) clam chowder - interesting take on chowder
2) french onion soup - good, great for dipping 
3) giant prawn cocktail - huge size & fresh! 6 pieces
4) aged New York strip - cooked medium, great flavor 
5) abalone pasta - so fresh & delicious, a bit tarty 
6) lobster mac n cheese - good portion size, couldn't finish! 

They had delicious table side breads too. Really like the olive bread. So fluffy, perfect to dip in the soups. 

Very pricey meal, but nice ambiance and friendly staff.",2019-12-24 07:11:38.000000000,Angel Oak,8301 Hollister Ave,Santa Barbara,CA,93117,34.4341630825,-119.9202039,4.0,202,1,"{'BikeParking': 'False', 'WiFi': ""u'free'"", 'RestaurantsPriceRange2': '4', 'RestaurantsGoodForGroups': 'True', 'BusinessAcceptsCreditCards': 'True', 'OutdoorSeating': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': True, 'lot': False, 'valet': True}"", 'Alcohol': ""u'full_bar'"", 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': True, 'divey': False, 'intimate': True, 'trendy': False, 'upscale': True, 'classy': True, 'casual': False}"", 'WheelchairAccessible': 'True', 'DogsAllowed': 'False', 'GoodForKids': 'False', 'RestaurantsAttire': ""u'dressy'"", 'HasTV': 'False', 'RestaurantsDelivery': 'None', 'NoiseLevel': ""u'average'"", 'RestaurantsTableService': 'True', 'RestaurantsReservations': 'True', 'RestaurantsTakeOut': 'None', 'GoodForMeal': ""{'dessert': True, 'latenight': False, 'lunch': None, 'dinner': True, 'brunch': None, 'breakfast': None}""}","Restaurants, Seafood, American (New), Steakhouses","{'Monday': '17:0-22:0', 'Tuesday': '17:0-22:0', 'Wednesday': '17:0-22:0', 'Thursday': '17:0-22:0', 'Friday': '17:0-22:0', 'Saturday': '17:0-22:0', 'Sunday': '17:0-22:0'}",Y,{'seating': 'positive'},2,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,134195,3915374,ByvNI17XGHHodI3jD_i6aw,wnQfKxYF2GIUex8jd6lugg,wfjqxgLSsLtyzswzQBziSw,4,1,0,0,"Real talk this place is the jam for some freaky fresh salads and sandwiches. I get the number 10 [sliced turkey, sun dried tomatoes, honey mustard...] and substitute  the regular cheese for brie. Their space is small inside but the outside is where you want to be anyways. Every experience has been phenomenal and they make a mean sandwich. Also, always order with focaccia its always on point.",2011-09-04 06:38:42.000000000,Panino,834 Santa Barbara St,Santa Barbara,CA,93101,34.4226944,-119.6979774,4.0,165,1,"{'Alcohol': ""'none'"", 'RestaurantsTakeOut': 'True', 'OutdoorSeating': 'True', 'RestaurantsGoodForGroups': 'True', 'Ambience': ""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'BusinessParking': ""{'garage': True, 'street': True, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsReservations': 'False', 'GoodForKids': 'True', 'RestaurantsAttire': ""'casual'"", 'BusinessAcceptsCreditCards': 'True', 'BikeParking': 'True', 'WiFi': ""u'no'"", 'RestaurantsPriceRange2': '2', 'NoiseLevel': ""u'quiet'"", 'HasTV': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'RestaurantsDelivery': 'True'}","Restaurants, Salad, Soup, Sandwiches, Breakfast & Brunch","{'Monday': '10:30-16:0', 'Tuesday': '10:30-16:0', 'Wednesday': '10:30-16:0', 'Thursday': '10:30-16:0', 'Friday': '10:30-16:0', 'Saturday': '10:30-16:0', 'Sunday': '11:0-15:0'}",Y,{},3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,105022,3039643,6lRlZv3LNNtR_w7WozzUIw,yyrPMHBH6pUM9iFbjz93lg,iBBV8vesQ8fo2IQA7an1JA,5,0,0,0,"What a gem---a delightful spot to be. We were at Jane last night for dinner with two new friends. We sat up in the balcony area and had an enchanting dinner for four. I had the Salmon and a Caesar Salad---wow. I love cozy family owned restaurants that have a distinctly California flair---and this one with a classic Santa Barbara feel. Classy, never stuffy----fresh, but creative. Service was wonderful, wine was delightful, food fantastic---and don't forget to have a bite of coconut cake before you head home. 

This is a perfect spot for a night out with friends, a dinner with clients, or your parents---perfect for any occasion. Lovely. Thank you. We will be back!",2016-10-11 17:29:43.000000000,Jane,1311 State St,Santa Barbara,CA,93101,34.4243524,-119.7064283,4.0,733,1,"{'RestaurantsTakeOut': 'True', 'BikeParking': 'True', 'NoiseLevel': ""u'average'"", 'Alcohol': ""u'beer_and_wine'"", 'WiFi': ""u'free'"", 'HasTV': 'False', 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsGoodForGroups': 'True', 'GoodForKids': 'False', 'RestaurantsPriceRange2': '2', 'Caters': 'False', 'GoodForDancing': 'False', 'RestaurantsReservations': 'True', 'OutdoorSeating': 'True', 'RestaurantsDelivery': 'True', 'BusinessAcceptsBitcoin': 'False', 'ByAppointmentOnly': 'False', 'RestaurantsAttire': ""u'casual'"", 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': True, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': False}"", 'GoodForMeal': ""{u'breakfast': False, u'brunch': False, u'lunch': None, u'dinner': True, u'latenight': False, u'dessert': None}"", 'RestaurantsTableService': 'True', 'Music': ""{'dj': False, 'background_music': False, 'no_music': False, 'jukebox': False, 'live': False, 'video': False, 'karaoke': False}"", 'HappyHour': 'False', 'WheelchairAccessible': 'True'}","Restaurants, Food, American (New), Wine Bars, Nightlife, Venues & Event Spaces, Bars, Event Planning & Services","{'Monday': '0:0-0:0', 'Tuesday': '17:0-21:0', 'Wednesday': '17:0-21:0', 'Thursday': '17:0-21:0', 'Friday': '17:0-21:30', 'Saturday': '17:0-21:30'}",Y,{'Service': 'positive'},4,,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,39457,1071870,qwnvaBXv_JYVAw4g1q4QCA,H6OsaA5HSACyTSrYsmoPTA,RX3gzXCiKOe2vI7zyB20mg,4,0,0,0,"Great casual spot for breakfast or lunch. The young staff is friendly and helpful and service was timely. I enjoyed sitting on the patio out front. There's ample seating both inside and out and Cafe Int'l can easily accommodate groups. I enjoyed delicious eggs Benedict one morning and an excellent hearty Italian omelet another day. Today I hit the cafe around noon and decided to sample the BLAT s sandwich with a side Caesar salad. It was great! Crispy bacon with lots of avocado and fresh slices of lettuce and tomato were perfect with the salad that had a really tasty Caesar dressing. The menu is so big, I look forward to trying some of the other offerings. Friends have said their soups and potato salad are really good too!",2011-09-24 23:25:13.000000000,Cafe Int'l,5664 Calle Real,Goleta,CA,93117,34.4411228,-119.821531,3.0,53,0,"{'OutdoorSeating': 'True', 'BikeParking': 'True', 'RestaurantsReservations': 'None', 'RestaurantsPriceRange2': '1', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsGoodForGroups': 'True', 'RestaurantsDelivery': 'False', 'RestaurantsAttire': ""u'casual'"", 'HasTV': 'False', 'NoiseLevel': ""u'average'"", 'BusinessAcceptsCreditCards': 'True', 'Alcohol': ""u'none'"", 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'GoodForKids': 'True', 'RestaurantsTakeOut': 'True', 'WiFi': ""'free'"", 'Caters': 'True'}","Sandwiches, Cafes, Caterers, Event Planning & Services, Korean, Breakfast & Brunch, Restaurants","{'Monday': '6:30-15:0', 'Tuesday': '6:30-15:0', 'Wednesday': '6:30-15:0', 'Thursday': '6:30-15:0', 'Friday': '6:30-15:0', 'Saturday': '7:0-15:0', 'Sunday': '7:0-15:0'}",Y,"{'service': 'positive', 'seating': 'positive'}",5,positive,,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,220934,6296853,F4IAO5enjStmfBdt_t4-rA,7-lxQafF7BuscqnCwWcl6g,GuzbBFraIq-fbkjfvaTRvg,3,2,0,2,"Mesa Verde is consistently good but it's not going to blow you away. It's not my favorite place in town, but if you want some healthy options it's a good go-to. Personally, however, I think it's way overpriced for what you get. You can spend less and get more food at The Natural Cafe, which has similar options. I have tried both of their tacos--the street tacos and the rajas tacos. Both are average. The street tacos are very filling, and I recommend them if you like jackfruit! The rajas tacos are a bit of a let down. I can easily make the same tacos at home for a fourth of the price. They really just had grilled veggies, avo, and some vegan cheese. The tortillas are quite good and hold up to the toppings. I've also tried their curry, risotto, and Brussels sprouts. Each of the options looked so much better in the pictures but the flavors just did not go well together. I have left hungry each time, which is a bit of a disappointment after spending a lot of money (it's not cheap!). The Brussels sprout appetizer is about $15...seems to be way overpriced.",2021-03-23 01:37:35.000000000,Mesa Verde,1919 Cliff Dr,Santa Barbara,CA,93109,34.4013485,-119.7230803,4.5,1796,1,"{'NoiseLevel': ""u'average'"", 'BusinessAcceptsCreditCards': 'True', 'RestaurantsGoodForGroups': 'True', 'HasTV': 'False', 'RestaurantsDelivery': 'False', 'RestaurantsAttire': ""u'casual'"", 'GoodForKids': 'True', 'RestaurantsPriceRange2': '2', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': True}"", 'RestaurantsTakeOut': 'True', 'RestaurantsTableService': 'True', 'Caters': 'False', 'BikeParking': 'True', 'DogsAllowed': 'True', 'Alcohol': ""u'beer_and_wine'"", 'WiFi': ""u'free'"", 'WheelchairAccessible': 'True', 'HappyHour': 'False', 'RestaurantsReservations': 'True', 'OutdoorSeating': 'True', 'BusinessAcceptsBitcoin': 'False', 'GoodForMeal': ""{u'breakfast': False, u'brunch': None, u'lunch': True, u'dinner': True, u'latenight': False, u'dessert': None}""}","Garage Door Services, Restaurants, Live/Raw Food, Food, Home Services, Mediterranean, Keys & Locksmiths, Burgers, Vegetarian, Juice Bars & Smoothies, Vegan, Salad","{'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-21:0', 'Saturday': '11:0-21:0', 'Sunday': '11:0-21:0'}",Y,{},6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,242076,6701046,_jWLmaw0aEcxUPSFXojr3g,fOFcvZmYb6yR2SAGN_TVTw,Qkg16mN-8QR66gjzg6gMyw,5,2,0,2,"Located inside the Santa Barbara Inn, Convivo Restaurant was a Incredible dining experience!

We made reservations for outside but it was too chilly, even with heaters. We asked to sit inside and they accommodated us within minutes.

The restaurant has a wonderful view of the beach due to the large glass patio doors and  entry way next to the bar.

The table service was quick and the food was delicious. We had the seafood pasta, breaded pork chop and  margherita  pizzas.

Next time we're in SB, we'll definitely be returning!",2019-08-11 14:23:58.000000000,Convivo Restaurant and Bar,901 E Cabrillo Blvd,Santa Barbara,CA,93103,34.417321,-119.6722259521,4.0,445,1,"{'BusinessAcceptsBitcoin': 'False', 'DogsAllowed': 'True', 'RestaurantsTableService': 'True', 'NoiseLevel': ""u'average'"", 'WheelchairAccessible': 'True', 'WiFi': ""u'free'"", 'BestNights': ""{'monday': False, 'tuesday': True, 'friday': False, 'wednesday': True, 'thursday': True, 'sunday': False, 'saturday': False}"", 'RestaurantsPriceRange2': '2', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsGoodForGroups': 'True', 'HappyHour': 'True', 'Music': ""{'dj': False}"", 'RestaurantsTakeOut': 'True', 'Alcohol': ""u'full_bar'"", 'BusinessParking': ""{'garage': False, 'street': True, 'validated': True, 'lot': False, 'valet': True}"", 'BikeParking': 'True', 'Caters': 'True', 'Smoking': ""u'no'"", 'CoatCheck': 'False', 'GoodForMeal': ""{'dessert': True, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'OutdoorSeating': 'True', 'RestaurantsAttire': ""u'casual'"", 'RestaurantsDelivery': 'True', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': False}"", 'GoodForDancing': 'False', 'GoodForKids': 'True', 'HasTV': 'True', 'RestaurantsReservations': 'True', 'BYOB': 'True', 'Corkage': 'True'}","Bars, Mediterranean, Restaurants, Nightlife, Moroccan, Event Planning & Services, Venues & Event Spaces, Italian","{'Monday': '7:0-21:0', 'Tuesday': '7:0-21:0', 'Wednesday': '15:0-21:0', 'Thursday': '7:0-21:0', 'Friday': '7:0-22:0', 'Saturday': '7:0-22:0', 'Sunday': '7:0-21:0'}",Y,{'food': 'positive'},7,,,,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,206012,5829359,NxEl1BQqKEE43bRQ008GWg,VImtrBPZuM39GoyOF_8xOw,BVzFvRrgMpL62oPIqGvLMg,4,0,0,0,"This is one of the regular stops for everyone at work, and I'm usually pretty happy with just about everything on the menu, but have three issues.  One, as another reviewer mentioned, the bacon is always really hard.  Two, also mentioned before, horrid parking.  Three, offer a non-chipotle ranch for the salads.  Not everyone wants everything to be spicy.",2016-09-20 20:01:55.000000000,South Coast Deli-Goleta,"185 S Patterson Ave, Ste A",Goleta,CA,93111,34.4356695,-119.8097733,4.5,347,1,"{'BYOBCorkage': ""'no'"", 'BikeParking': 'True', 'RestaurantsPriceRange2': '1', 'RestaurantsDelivery': 'True', 'RestaurantsGoodForGroups': 'True', 'BusinessAcceptsCreditCards': 'True', 'GoodForKids': 'True', 'RestaurantsAttire': ""'casual'"", 'Ambience': ""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'RestaurantsReservations': 'False', 'Caters': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'WiFi': ""u'free'"", 'NoiseLevel': ""u'average'"", 'HappyHour': 'False', 'Alcohol': ""u'none'"", 'OutdoorSeating': 'True', 'RestaurantsTakeOut': 'True', 'RestaurantsTableService': 'False', 'HasTV': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'WheelchairAccessible': 'True', 'DogsAllowed': 'True'}","Sandwiches, Restaurants, Delis","{'Monday': '9:0-16:0', 'Tuesday': '9:0-16:0', 'Wednesday': '9:0-16:0', 'Thursday': '9:0-16:0', 'Friday': '9:0-16:0', 'Saturday': '11:0-16:0'}",Y,{},8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,22900,612025,VfUMWLupU63A2__nl29Gwg,sUzgjFFqfh-exTWgpguzyg,SHk_eYKzIOPvgwvTThtXiQ,4,0,0,0,"The butternut squash soup blew my mind and I was very tempted my their spanakopitas. Everything's fresh and I love that they have a large selection of toppings (almonds, chow mein noodles, dried cranberries, etc)",2014-06-19 19:54:35.000000000,Romaine's,UCen,Goleta,CA,93118,34.4115477,-119.8439999,3.5,6,1,"{'GoodForKids': 'True', 'RestaurantsPriceRange2': '1', 'RestaurantsTakeOut': 'True', 'RestaurantsReservations': 'False', 'RestaurantsGoodForGroups': 'True', 'BusinessAcceptsCreditCards': 'True'}","American (Traditional), Vegetarian, Restaurants","{'Monday': '11:0-15:0', 'Tuesday': '11:0-15:0', 'Wednesday': '11:0-15:0', 'Thursday': '11:0-15:0', 'Friday': '11:0-15:0'}",Y,{},9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
